timestamp,player_index,packets_received,packets_sent,x,y,is_it
176302,0,8333,8333,241.417,695.859,0
176302,1,7870,7870,96.1268,471.264,1
176365,0,8335,8335,241.417,695.859,0
176365,1,7872,7872,96.1268,471.264,1
176429,0,8337,8337,241.417,695.859,0
176429,1,7874,7874,96.1268,471.264,1
176491,0,8339,8339,241.417,695.859,0
176491,1,7876,7876,96.1268,471.264,1
176556,0,8341,8341,241.417,695.859,0
176556,1,7878,7878,96.1268,471.264,1
176616,0,8343,8343,241.417,695.859,0
176616,1,7880,7880,96.1268,471.264,1
176679,0,8345,8345,241.417,695.859,0
176679,1,7882,7882,96.1268,471.264,1
176751,0,8346,8346,241.417,695.859,0
176751,1,7883,7883,96.1268,471.264,1
176804,0,8349,8349,241.417,695.859,0
176804,1,7886,7886,96.1268,471.264,1
176867,0,8351,8351,241.417,695.859,0
176867,1,7888,7888,96.1268,471.264,1
176930,0,8353,8353,241.417,695.859,0
176930,1,7890,7890,96.1268,471.264,1
176995,0,8356,8356,241.417,695.859,0
176995,1,7893,7893,96.1268,471.264,1
177058,0,8358,8358,241.417,695.859,0
177058,1,7895,7895,96.1268,471.264,1
177121,0,8360,8360,241.417,695.859,0
177121,1,7897,7897,96.1268,471.264,1
177185,0,8362,8362,241.417,695.859,0
177185,1,7899,7899,96.1268,471.264,1
177246,0,8364,8364,241.417,695.859,0
177246,1,7901,7901,96.1268,471.264,1
177309,0,8366,8366,241.417,695.859,0
177309,1,7903,7903,96.1268,471.264,1
177371,0,8368,8368,241.417,695.859,0
177371,1,7905,7905,96.1268,471.264,1
177435,0,8370,8370,241.417,695.859,0
177435,1,7908,7908,96.1268,471.264,1
177498,0,8372,8372,241.417,695.859,0
177498,1,7910,7910,96.1268,471.264,1
177561,0,8374,8374,241.417,695.859,0
177561,1,7912,7912,96.1268,471.264,1
177627,0,8377,8377,241.417,695.859,0
177627,1,7914,7914,96.1268,471.264,1
177689,0,8379,8379,241.417,695.859,0
177689,1,7916,7916,96.1268,471.264,1
177753,0,8381,8381,241.417,695.859,0
177753,1,7918,7918,96.1268,471.264,1
177816,0,8383,8383,241.417,695.859,0
177816,1,7920,7920,96.1268,471.264,1
